Sexo,Edad,REdad,EstCiv,ZONA,Region,Prov,Dis,TVidaAño,Ingreso,T_Plazo,T_Micro,T_Convenios,T_TC,T_EI,Deu_TOTAL_SBS,Deu_Emp_SBS,Deu_Pequ_SBS,Deu_Micr_SBS,Deu_ConR_SBS,Deu_ConN_SBS,Deu_Hipo_SBS,Lin_TCre_SBS,Deu_TCre_SBS,Deu_Conv_SBS,Deu_PLD_SBS,Deu_Vehi_SBS,Deu_Otro_SBS,Deu_HipTrad_SBS,Deu_MiViv_SBS
Masculino,39.0,[35 - 40>,Divorciado,ZONA 7,LIMA,LIMA,SAN ISIDRO,18.22739726027397,4716.76,1.0,0.0,0.0,0.0,0.0,8697.913669,,,,8697.913669,,,78588.026721,8697.913669,,,,,,
Masculino,32.0,[30 - 35>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,18.172602739726027,4733.78,1.0,0.0,0.0,0.0,0.0,22507.262761,,,,1457.057211,,21050.205549,31118.999657,1457.057211,,,,,21050.205549,
Femenino,59.0,[55 - 60>,Casado,ZONA 6,LIMA,LIMA,JESUS MARIA,18.126027397260273,2691.0,1.0,0.0,0.0,0.0,0.0,2087.105173,,,,2087.105173,,,14902.363823,2087.105173,,,,,,
Masculino,51.0,[50 - 55>,Divorciado,ZONA 7,LIMA,LIMA,SAN BORJA,17.328767123287673,2460.12,1.0,0.0,0.0,1.0,1.0,196.844809,,,,196.844809,,,36869.373072,196.844809,,,,,,
Femenino,50.0,[50 - 55>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,17.13972602739726,1376.97,1.0,0.0,0.0,0.0,0.0,493.511476,,,,493.511476,,,2774.922918,493.076396,,,,0.43508,,
Femenino,57.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,16.649315068493152,1564.55,1.0,0.0,0.0,1.0,1.0,1226.683795,,,,1226.683795,,,5198.376156,1226.683795,,,,,,
Masculino,57.0,[55 - 60>,Soltero,ZONA 6,LIMA,LIMA,MAGDALENA DEL MAR,16.389041095890413,1292.31,1.0,0.0,0.0,0.0,0.0,105.450496,,,,,105.450496,,,,,105.450496,,,,
Femenino,49.0,[45 - 50>,Soltero,ZONA 6,LIMA,LIMA,JESUS MARIA,16.24931506849315,8554.79,1.0,0.0,0.0,0.0,0.0,26887.738951,,,,26887.738951,,,30113.052415,26887.738951,,,,,,
Femenino,55.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,LA MOLINA,15.69041095890411,1589.45,1.0,0.0,0.0,0.0,0.0,1750.441932,,,,1750.441932,,,6885.919835,1750.441932,,,,,,
Femenino,46.0,[45 - 50>,Soltero,ZONA CENTRO,ANCASH,SANTA,NUEVO CHIMBOTE,15.572602739726028,724.08,1.0,0.0,0.0,0.0,0.0,172.925659,,,,172.925659,,,342.583076,172.925659,,,,,,
Femenino,37.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,15.517808219178082,5228.84,1.0,0.0,0.0,0.0,0.0,2672.959917,,,,2672.959917,,,52971.565604,2672.959917,,,,,,
Femenino,58.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,15.389041095890411,3796.5,1.0,0.0,0.0,0.0,0.0,2919.246317,,,,2919.246317,,,24083.59027,2919.246317,,,,,,
Femenino,55.0,[55 - 60>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,15.389041095890411,2903.67,1.0,0.0,0.0,0.0,0.0,1970.215827,,,,1970.215827,,,20897.56766,1970.215827,,,,,,
Masculino,45.0,[45 - 50>,Casado,ZONA 7,LIMA,LIMA,SAN ISIDRO,15.342465753424657,3996.0,1.0,0.0,0.0,0.0,0.0,37063.172319,,,,,37063.172319,,20683.268242,,37063.172319,,,,,
Masculino,59.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,LA MOLINA,15.07945205479452,3975.75,1.0,0.0,0.0,0.0,0.0,3164.92977,,,,3164.92977,,,36584.590613,3164.92977,,,,,,
Masculino,40.0,[40 - 45>,Casado,ZONA 4,LIMA,LIMA,LIMA,14.991780821917809,1605.6,1.0,0.0,0.0,0.0,0.0,2037.266187,,,,2037.266187,,,14885.234669,2037.266187,,,,,,
Masculino,56.0,[55 - 60>,Casado,ZONA 7,LIMA,LIMA,SANTIAGO DE SURCO,14.90958904109589,1578.66,1.0,0.0,0.0,0.0,0.0,58.544021,,,,58.544021,,,15373.415553,58.544021,,,,,,
Masculino,37.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN BORJA,14.854794520547944,12123.72,1.0,0.0,0.0,0.0,0.0,522327.108598,,,,3266.570743,,519060.537855,34739.242891,3266.570743,,,,,519060.537855,
Femenino,38.0,[35 - 40>,Soltero,ZONA 6,LIMA,LIMA,PUEBLO LIBRE,14.843835616438357,1491.51,1.0,0.0,0.0,0.0,0.0,581.216169,,,,581.216169,,,4556.354916,581.216169,,,,,,
Femenino,37.0,[35 - 40>,Soltero,ZONA 6,LIMA,LIMA,JESUS MARIA,14.638356164383561,2902.9,1.0,0.0,0.0,1.0,0.0,11728.160328,,,,307.684138,11420.47619,,5500.0,307.684138,,11420.47619,,,,
Masculino,47.0,[45 - 50>,Soltero,ZONA 6,LIMA,LIMA,MAGDALENA DEL MAR,14.556164383561644,1722.4,1.0,0.0,0.0,1.0,1.0,2012.918807,,,,2012.918807,,,20608.735868,2012.918807,,,,,,
Femenino,43.0,[40 - 45>,Soltero,ZONA 6,LIMA,LIMA,PUEBLO LIBRE,14.438356164383562,2507.7,1.0,0.0,0.0,0.0,0.0,29353.216855,,,,2037.159986,,27316.056868,16889.345666,2037.159986,,,,,27316.056868,
Femenino,39.0,[35 - 40>,Soltero,ZONA 7,LIMA,LIMA,SAN ISIDRO,14.257534246575343,2892.12,1.0,0.0,0.0,0.0,0.0,3933.699897,,,,3933.699897,,,17824.953751,3933.699897,,,,,,
Femenino,57.0,[55 - 60>,Soltero,ZONA 6,LIMA,LIMA,JESUS MARIA,14.158904109589042,2396.94,1.0,0.0,0.0,0.0,0.0,1.678657,,,,1.678657,,,18854.43645,1.678657,,,,,,
